Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,11,240,264,9239.0,0.1157871861357513,0.0012282605632116799,1.060791443512274
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,12,264,288,9765.0,0.1110999640320454,0.0011567960407808577,1.04122089584763
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,13,288,312,4694.0,0.051668170185491365,0.0007849806639953693,1.519273202780839
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,14,312,336,1385.0,0.017836287748812307,0.0004894643351876297,2.744205196062855
Q3p85_W2p62_t0p21_loweps_center,4,0.308,0.354,15,336,360,850.0,0.011428858167048153,0.0003981346707437654,3.483590967045798
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,1,0,24,303.0,0.004797984171874659,0.00028343791556356956,5.907437486456426
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,2,24,48,552.0,0.008143434196934987,0.0003566991626813156,4.380205624005281
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,3,48,72,2054.0,0.02545071650234552,0.0005875663603154396,2.3086436889165376
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,4,72,96,7309.0,0.08829041982559087,0.001067386740077607,1.2089496710811045
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,5,96,120,9318.0,0.12004749422367429,0.001268619447276031,1.056764620936044
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,6,120,144,4719.0,0.07079887620704861,0.0010427565418713663,1.472843352515744
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,7,144,168,2007.0,0.033863367479536874,0.0007614118140654495,2.248482270776996
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,8,168,192,1507.0,0.026243089883832667,0.0006799791955996778,2.591079017789693
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,9,192,216,2047.0,0.03451617168409342,0.0007677667372808552,2.2243681724259012
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,10,216,240,4840.0,0.0726547955049877,0.001056265056059046,1.453813266856603
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,11,240,264,9140.0,0.11875643837898303,0.001266567450799352,1.0665252916708416
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,12,264,288,6737.0,0.08180342258238202,0.0010286302073848768,1.2574415286218266
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,13,288,312,1872.0,0.02376844026423698,0.0005739380029229588,2.4147062093364644
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,14,312,336,598.0,0.008884834779062283,0.0003740549248080226,4.210038049210644
Q3p85_W2p62_t0p21_loweps_center,5,0.354,0.5,15,336,360,354.0,0.005602829181842092,0.00030663778430182575,5.472909745233563
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,1,0,24,6649.0,0.0681633414598388,0.0008503808320414233,1.2475632999043331
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,2,24,48,4857.0,0.05030234268239091,0.0007332963595256619,1.4577777503439482
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,3,48,72,1116.0,0.01236217653012329,0.00037524908482012285,3.0354613033209974
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,4,72,96,56.0,0.0007508267182727008,0.00010101621430256023,13.453998351970084
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,5,96,120,7.0,9.84090532842351e-05,3.73750395043284e-05,37.979269444222766
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,6,120,144,3.0,3.98987546266009e-05,2.305495740731226e-05,57.78365170310676
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,7,144,168,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,8,168,192,1.0,1.59607226699955e-05,1.59607226699955e-05,100.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,9,192,216,1.0,1.274414344575487e-05,1.274414344575487e-05,100.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,10,216,240,3.0,4.182837087433377e-05,2.426558054758959e-05,58.01225350251244
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,11,240,264,9.0,0.00011724597236067782,3.9327124517578585e-05,33.54240979519412
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,12,264,288,97.0,0.00127023378936651,0.00013016385081238686,10.247235737391467
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,13,288,312,1251.0,0.01383874604187019,0.00039741426658093144,2.8717505573013913
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,14,312,336,4825.0,0.049915746323803904,0.0007302798073281239,1.4630249192124507
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,15,336,360,6717.0,0.06880077302370509,0.000854362040465169,1.2417913388426627
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,1,0,24,11542.0,0.10767677435418685,0.0010336071584023695,0.9599165322342137
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,2,24,48,10747.0,0.1032346966930862,0.0010247949751303273,0.9926846379730387
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,3,48,72,5370.0,0.05724944291316816,0.0007992701498250043,1.3961186505120755
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,4,72,96,750.0,0.009867680547568402,0.00036376634829006905,3.686442285362678
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,5,96,120,70.0,0.0010097928840932012,0.00012148625454536539,12.030809135128797
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,6,120,144,12.0,0.00017538922575681683,5.08978294347381e-05,29.019929368586006
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,7,144,168,10.0,0.00015348208915889297,4.8849375315152417e-05,31.827410991637528
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,8,168,192,6.0,9.004004375453987e-05,3.6951984962003e-05,41.03950133869172
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,9,192,216,13.0,0.0001990345225415998,5.558731857683878e-05,27.928480882114602
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,10,216,240,17.0,0.00027194545491934406,6.61754801672395e-05,24.33410044924869
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,11,240,264,77.0,0.0010855685453072777,0.0001243557104034996,11.45535313648019
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,12,264,288,803.0,0.010367343640479417,0.000369860522059445,3.56755341469844
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,13,288,312,5591.0,0.05961228619012129,0.0008160152514792168,1.3688709218041089
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,14,312,336,10788.0,0.10350937413757696,0.0010243591049990928,0.9896293099382388
Q3p85_W2p62_t0p21_loweps_left,2,0.236,0.272,15,336,360,11432.0,0.10700195917850212,0.0010327500273807032,0.9651692691512831
