Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,6,120,144,33.0,0.000605734857210791,0.00010601347057139464,17.501629518161078
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,7,144,168,13.0,0.00023178063802355888,6.456610664257446e-05,27.856557473110318
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,8,168,192,12.0,0.00021921763028315256,6.359614134151883e-05,29.010504884746197
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,9,192,216,13.0,0.0002595641045237408,7.221143906006721e-05,27.82027167915372
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,10,216,240,19.0,0.0003573549915216745,8.235603465539693e-05,23.046000926057257
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,11,240,264,150.0,0.0025470158416990465,0.00020975749387428915,8.235421642857373
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,12,264,288,2598.0,0.03370116585348679,0.0006779378550712821,2.0116154379304394
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,13,288,312,11914.0,0.12013471014774588,0.0011496801593990017,0.9569924944964572
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,14,312,336,19098.0,0.16637104405770195,0.001276905062376687,0.7675043873222446
Q3p85_W2p62_t0p21_loweps_left,4,0.308,0.354,15,336,360,20449.0,0.16748376208163032,0.001253436089075135,0.7483926044509436
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,1,0,24,25771.0,0.20235324710290023,0.001401162032258826,0.6924336783912888
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,2,24,48,32808.0,0.26187251494406183,0.001578904682431908,0.6029287505674947
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,3,48,72,19052.0,0.18229652987713305,0.0014019878247077393,0.7690699464508031
Q3p85_W2p62_t0p21_loweps_left,5,0.354,0.5,4,72,96,3933.0,0.049318199746354915,0.0008102363946992876,1.642875041802741
