Physics_Setting,Beam_Energy_loweps,Beam_Energy_higheps,epsilon_low,epsilon_high,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,theta_cm,data_avg_Q2,data_avg_Q2_err,data_avg_W,data_avg_W_err,simc_avg_Q2,simc_avg_Q2_err,simc_avg_W,simc_avg_W_err
Q3p85_W2p62_t0p21,6.39566,10.557302,0.28672228049261733,0.777875216539157,5,1,0.16,0.236,0.198,15,180.0,5.6996283857832,3.6161329750458266,0.001590113538521764,2.6740652611304303,0.00038944053117738426,3.660213310998447,0.00037663281936642433,2.666334187686012,9.443146610908184e-05
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29156296200455567,0.7792421228397913,5,2,0.236,0.272,0.254,15,180.0,9.041629101333134,3.774916123423979,0.0019340135075429365,2.634962376230666,0.0004912224019088735,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915617159601362,0.7792417703901015,5,2,0.236,0.272,0.254,15,180.0,9.042091391952413,3.774875775062246,0.0019340548688769276,2.6349724135694625,0.0004911987605463042,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915616570607532,0.7792418219976393,5,2,0.236,0.272,0.254,15,180.0,9.042617560491163,3.774826914669541,0.0019344263032571776,2.6349826885431495,0.000491331343686436,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915604124155872,0.7792414700401978,5,2,0.236,0.272,0.254,15,180.0,9.04307996807335,3.7747865452639746,0.0019344676910818697,2.634992728378124,0.0004913076865918119,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915534755449178,0.7792390845463602,5,2,0.236,0.272,0.254,15,180.0,9.042525883806038,3.7748531017885365,0.001933259548079731,2.6349878291492796,0.0004909751134160906,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915522344612275,0.7792387336904897,5,2,0.236,0.272,0.254,15,180.0,9.042987674988408,3.7748127821874555,0.0019333008610584036,2.634997853938255,0.000490951507738051,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915521706320314,0.7792387836517821,5,2,0.236,0.272,0.254,15,180.0,9.043513724265553,3.774763935720268,0.0019336718611040703,2.6350081322864436,0.0004910838907114183,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.2915509309483312,0.7792384332883612,5,2,0.236,0.272,0.254,15,180.0,9.043975632174643,3.7747235951058604,0.0019337132005218362,2.6350181595644053,0.0004910602693408896,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
Q3p85_W2p62_t0p21,6.39566,10.557302,0.29156689701670174,0.7792434326450691,5,2,0.236,0.272,0.254,15,180.0,9.041622914153962,3.7749082091025317,0.001931947781314976,2.6349589267231757,0.0004907673993378035,3.8370253179992817,0.0004097258577140116,2.6213375865365176,0.00010672229755950011
