Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_higheps_left,5,0.358,0.5,5,96,120,156.0,0.07078099048923706,0.005749869548622365,8.123465790573656
Q3p85_W2p62_t0p21_higheps_left,5,0.358,0.5,6,120,144,3.0,0.0017680414585854328,0.0010236703898208392,57.8985512387166
Q3p85_W2p62_t0p21_higheps_left,5,0.358,0.5,7,144,168,4.0,0.0025270012252758536,0.0012709789252126748,50.29593624648645
Q3p85_W2p62_t0p21_higheps_left,5,0.358,0.5,8,168,192,3.0,0.0017724055823898906,0.0010278056071455785,57.98930094542456
Q3p85_W2p62_t0p21_higheps_left,5,0.358,0.5,9,192,216,3.0,0.002021212312672055,0.0011739071705508274,58.0793597580511
Q3p85_W2p62_t0p21_higheps_left,5,0.358,0.5,10,216,240,11.0,0.00638902652010529,0.0019400972559976105,30.366085504457068
Q3p85_W2p62_t0p21_higheps_left,5,0.358,0.5,11,240,264,149.0,0.06543383496794981,0.005449852351433116,8.328798631629205
Q3p85_W2p62_t0p21_higheps_left,5,0.358,0.5,12,264,288,2044.0,0.6374282526621255,0.014633712248758821,2.2957426483126953
Q3p85_W2p62_t0p21_higheps_left,5,0.358,0.5,13,288,312,3882.0,0.9393518934858296,0.01609532883278083,1.7134504060084308
Q3p85_W2p62_t0p21_higheps_left,5,0.358,0.5,14,312,336,3228.0,0.6282198046334204,0.012509434824598292,1.9912512678421228
Q3p85_W2p62_t0p21_higheps_left,5,0.358,0.5,15,336,360,1867.0,0.3612816244647424,0.009740497809106621,2.696095552475905
